닉네임,소속팀,지역,DPI,일반감도,수직감도,스코프감도,2배율감도,3배율감도,4배율감도,6배율감도,8배율감도,해상도,인게임아이디
dg98,FA,AS,800,20,0.9,18,15,15,15,15,15,1920x1080,DGvine-_-7
diel,DNS,AS,400,45,1,35,40,40,40,40,40,1728x1080,DNS_Btajji
diyy,GEN,AS,800,35,1,34,34,34,34,34,34,1728x1080,GEN_DIYY0306
dr4ftk1ng,FA,AMER,400,50,1,33,37,39,39,39,39,1728x1080,Dr4FTk1nG
duckhjeuz,GTE,APAC,400,50,1.11,32,35,40,40,40,40,1728x1080,DuCkHjeUz_
ddakgu,FA,AS,1600,30,1.2,29,29,29,29,29,29,1728x1080,mercedes_ddakgu
d1d8x,FA,AS,400,60,1,35,40,40,40,40,40,1728x1080,-
daeva,PHE,AS,800,28,1,28,28,28,28,28,28,1920x1080,PHE_DAEVA
difx,TN,EU,800,50,1,40,42,42,42,42,42,1728x1080,-
destroyy,AL,APAC,400,60,0.95,45,45,45,45,45,45,1728x1080,Destroyy-_-
eend,T1,AS,400,45,1,35,40,40,40,40,40,1728x1080,T1_EEND
ej,GK,AS,400,45,0.88,35,35,35,35,35,35,1728x1080,2J3J
ext4nz,AUR,EU,400,55,1.11,38,38,38,38,36,36,1728x1080,-
east,FA,AS,800,45,1.2,38,38,38,38,38,38,1728x1080,-
esther,FA,AS,400,45,1.1,35,35,35,35,35,35,1728x1080,ESTH3R
eaddy,FA,APAC,800,45,0.98,33,35,39,39,39,39,1920x1080,-
earthzapalui,SP,APAC,400,45,1.1,35,40,40,40,40,40,1728x1080,-
excrozit,T5,APAC,800,45,1.2,35,35,35,35,35,35,1728x1080,-
evillee,FA,AS,400,55,1.08,44,50,50,51,51,51,1728x1080,-
f1ame,AZLA,AS,400,45,1,35,40,40,40,40,40,1728x1080,AZLA_F1ame
fairy,ART,AS,800,45,1.2,36,36,36,36,36,36,1728x1080,ART_Fairy1207
fexx,FA,EU,800,37,1,32,32,32,32,30,30,1728x1080,-
feyerist,NAVI,EU,400,45,1,40,40,40,40,40,40,1728x1080,Feyer1st
fludd,WOLF,AMER,800,35,1.11,25,25,25,25,25,25,1728x1080,flu_dd
flukky,T5,APAC,1600,22,1,11,15,24,17,17,17,1920x1080,-
flusha,FA,AS,800,50,1.2,36,36,36,36,36,36,1728x1080,-
foxver,ART,AS,400,50,1.2,36,36,36,36,36,36,1728x1080,ART_FoxVer
freaky,FA,AS,400,65,1.15,64,63,63,62,62,61,1728x1080,-
fuzzface,FA,EU,800,50,1.5,31,27,27,27,27,27,1920x1080,-
foxy,FA,AS,400,50,1,35,40,40,40,40,40,1728x1080,Foxy0v0
flow,FA,AS,800,31,1,28,28,28,28,28,28,1728x1080,-
flash,FS,APAC,400,45,1.25,43,42,42,42,42,42,1728x1080,-
f1lfirst,S8UL,EU,400,45,0.85,39,39,42,38,37,37,1728x1080,f1lfirst
forever,FA,AS,800,30,0.98,15,28,28,29,29,29,1728x1080,-
giken,FA,AS,1600,20,1.08,20,20,20,21,21,21,1920x1080,E36_Giken
gimjun,PHE,AS,800,45,1.2,31,33,36,33,33,33,1728x1080,GimJun03
gyumin,DNS,AS,400,45,1.1,35,36,40,40,39,39,1728x1080,DNS_Dtujji
guizeraa,FA,AMER,800,36,1,36,36,36,36,36,36,1728x1080,-
gona,FA,AS,400,44,1.11,35,39,39,40,41,41,1728x1080,-
glaz,CR,AS,400,40,0.85,36,35,35,33,37,37,1728x1080,CR_Glaz
glance,FA,AS,400,60,0.98,30,30,30,30,30,30,1728x1080,-
ggobugi,CR,AS,800,31,0.99,30,32,33,34,31,32,1728x1080,GGoBuGi07
gyuyeon,CR,AS,400,40,1,33,39,39,34,34,34,1728x1080,CR_Gyuyeon
godv,FA,AS,400,50,1.2,40,40,40,40,40,40,1728x1080,-
gustav,FLC,AMER,400,50,1.08,35,40,40,40,40,40,1728x1080,GustavIRL
gedrox,VIT,EU,800,36,1.1,36,36,36,36,36,36,1728x1080,-
guymin,AE,APAC,800,45,1.2,36,36,36,36,36,36,1728x1080,-
geunwon,FA,AS,400,55,1,35,40,40,40,40,40,1728x1080,-
haisaki,SBTC,APAC,400,43,0.85,43,43,43,43,43,43,1728x1080,-
hakatory,NAVI,EU,400,45,1,35,40,40,40,40,40,1728x1080,highegoplayer237
hane,FA,AS,400,45,0.85,33,40,40,37,37,37,1728x1080,-
hansia,FA,AS,800,28,1,26,26,26,26,26,26,1728x1080,-
hammer,AZLA,AS,400,43,1,34,35,36,35,34,34,1728x1080,AZLA_HAMMER
heather,T1,AS,800,46,1.2,44,44,46,45,45,46,1728x1080,UYoungWave
heaven,DNS,AS,400,45,1,35,40,40,40,40,40,1728x1080,DNS_DRIX
hela,DN,AS,400,40,0.98,35,38,38,40,40,40,1728x1080,DN_Hela
himass,AL,APAC,400,33,0.85,33,39,39,40,37,37,1920x1080,Himass523
howl,FA,AS,400,50,1.2,42,48,48,56,56,56,1728x1080,-
hsmm,4AM.,AS,800,40,1.2,27,32,35,32,32,32,1728x1080,Hsmm96
hush,FN,AS,400,45,1,35,35,35,35,35,35,1728x1080,-
hwinn,WOLF,AMER,800,37,1,28,26,26,26,26,26,1920x1080,hwinn
hikari,FA,AS,800,40,1.2,40,40,40,40,40,40,1728x1080,-
hulk,FA,AS,400,47,1.2,37,37,37,37,37,37,1728x1080,-
hyein,FA,AS,1600,26,0.87,9,15,15,15,16,18,1728x1080,SEN_Hyein
heat,FA,AS,400,50,1.11,35,43,43,46,46,46,1728x1080,-
hama,FA,AS,400,45,1,35,40,40,40,40,40,1728x1080,-
haven,GODL,AMER,1600,46,1.25,40,40,44,40,40,40,1728x1080,Haven_-
hallomybad,VIT,EU,400,45,1,35,37,37,37,37,37,1728x1080,-
hyuksung,FA,AS,800,50,1.2,30,33,35,33,33,33,1728x1080,-
hoangf,GTE,AS,400,43,0.78,43,43,43,43,43,43,1920x1080,-
ibiza,FA,EU,400,35,1.1,35,35,35,35,35,35,1728x1080,-
inonix,FA,AS,400,40,0.85,35,35,39,33,38,38,1920x1080,Inonix96
i26v6,PERO,AS,400,40,0.85,33,37,37,38,37,37,1920x1080,1168_i26v6
insfire,FA,AS,1000,40,1.1,40,40,40,40,40,40,1728x1080,-
innate,FA,AS,400,50,1,35,40,40,40,40,40,1728x1080,-
jacob,MITH,APAC,800,30,1,25,26,26,25,25,24,1920x1080,ascob
janggu,FA,AS,400,55,1.2,34,40,40,40,40,40,1728x1080,-
jeemzz,FA,EU,800,45,1.11,25,25,30,30,30,30,1728x1080,-
jervis,FA,APAC,400,45,0.85,33,37,37,37,37,37,1728x1080,-
jiaoyang,FA,AS,800,33,1.1,33,30,30,30,30,30,1728x1080,-
jund,FA,APAC,400,60,1,36,40,40,40,40,40,1728x1080,TEJUND
karwn,FA,AS,800,50,1.2,38,38,38,38,38,38,1728x1080,-
kaymind,FA,AMER,800,30,1,18,20,22,22,22,22,1920x1080,-
kickstart,FLC,AMER,800,30,1,25,25,25,25,25,25,1920x1080,FLC_Kickstart
kiss,MITH,APAC,400,45,1,35,40,40,40,40,40,1728x1080,KISSKODHOD
kemba7,FA,AMER,800,40,1,40,40,40,40,40,40,1920x1080,-
kkachi,FN,AS,400,50,1,35,40,40,40,40,40,1728x1080,FN_kkachi
khawkong,FA,APAC,1600,20,1,20,20,20,20,20,20,1728x1080,-
lambu,FA,AS,800,61,1.72,55,61,61,61,61,61,1920x1080,lambutan
lilghost,17,AS,800,30,1.11,25,25,25,25,25,25,1728x1080,ZuiZiyouDEdiaoR
longskr,EDG,AS,400,50,1,33,33,36,36,36,36,1728x1080,Longskr375
loki,FA,AS,400,40,1.15,35,38,40,45,32,32,1728x1080,Lother-_-
lu,TWIS,EU,400,45,1,38,40,40,40,40,40,1920x1080,crazyluu
lure,VEX,AS,400,50,1.11,34,38,42,40,40,40,1728x1080,VEX_lure
